27,79,37,216,128,134,158,245,216,213,107,116,161,129,60,164
252,201,221,93,117,153,100,118,216,55,20,148,78,214,152,93
29,93,3,182,120,75,249,39,136,138,155,233,142,218,115,139
195,36,62,91,189,225,15,244,182,50,105,111,206,146,153,58
207,187,11,76,78,22,73,107,181,227,62,145,62,78,100,204
113,227,78,42,246,62,213,36,70,120,12,140,215,39,7,114
155,19,2,38,83,119,209,213,52,48,123,160,83,193,72,249
67,97,129,5,111,31,246,203,190,109,146,174,102,89,255,87
148,214,232,69,86,38,232,46,171,163,210,139,161,152,2,86
132,225,213,13,21,175,208,90,196,56,201,177,194,223,34,6
230,179,127,122,9,209,126,202,185,144,199,200,70,125,124,140
91,65,128,129,242,26,99,174,225,78,192,205,55,146,13,109
196,11,74,181,230,246,153,27,144,0,97,143,88,156,213,8
47,124,149,108,75,128,24,8,97,21,96,150,81,151,31,190
166,169,166,253,255,55,13,81,4,35,160,165,191,209,80,93
67,19,251,2,234,42,71,85,31,133,36,3,72,1,117,89
